Complexity,Loss,Equation
1,0.07457044250789803,"0.3610550489316168"
3,0.010749661307044115,"(x1 * 0.01014806710847252)"
4,0.0058834882728272695,"sqrt(x1 / 156.00597800612547)"
5,0.0037929026256541564,"(x1 / (x1 - -36.066127895603735))"
6,0.001002780466074408,"pow3(x1 / (x1 - -8.610750204601677))"
7,0.00038594911165244365,"(pow2(sigmoid(x1 * 0.05284847388022245)) + -0.22980791412277493)"
8,0.00014562762233394542,"(pow2(pow2(sigmoid(x1 * 0.06594550230629549))) * 0.781721392565964)"
9,3.7215050743039655e-5,"((pow3(sigmoid(x1 * 0.059573122391022755)) - 0.10102636344458096) * 0.8795616508441388)"
11,1.4878405548090148e-5,"(pow3(pow3(sigmoid((x1 * 0.059789898661340574) + sigmoid(x1)))) / 1.2660611749949646)"
13,7.832188843868881e-6,"(pow3(pow3(sigmoid((x1 * 0.05978206154354151) + pow3(sigmoid(pow2(x1)))))) / 1.2661846301057957)"
14,3.4275879662206743e-6,"(pow3(pow3(sigmoid((x1 * 0.059787938586858685) + (x1 / (x1 + 0.12298223877722328))))) / 1.266449404276948)"
15,3.225869345571047e-6,"(pow3(pow3(sigmoid((x1 * 0.059789898661340574) + pow2(x1 / (x1 + 0.059787938586858685))))) / 1.2660611749949646)"
16,1.1537635804506847e-6,"(pow3(pow3(pow2(sigmoid(((x1 * 0.05949456467417052) + 0.728444222472273) + pow3(sigmoid(pow3(x1))))))) / 1.2669512358324408)"
17,1.0060334294030668e-6,"(pow3(pow3(pow2(sigmoid(((x1 * 0.05949456467417052) + 0.728444222472273) + pow3(pow3(sigmoid(exp(x1)))))))) / 1.2669512358324408)"
18,8.286940072546327e-7,"(pow3(pow3(pow2(sigmoid(((x1 * 0.059351474675115444) + sigmoid(sigmoid(x1))) + pow3(sigmoid(pow3(x1))))))) / 1.2664764085779394)"
19,8.139187730557038e-7,"(pow3(pow3(pow2(sigmoid((sigmoid(sigmoid(x1)) + (x1 * 0.05935153747588366)) + pow3(sigmoid(pow2(pow3(x1)))))))) / 1.266479201545018)"
20,7.518467272587373e-7,"(pow3(pow3(pow2(sigmoid((sigmoid(sqrt(sigmoid(sqrt(x1)))) + (x1 * 0.05944718892115373)) + pow3(sigmoid(pow3(x1))))))) / 1.2668195182674966)"
